neighborhood,facility name,facility subtype
Shadland Halls Grove,Halls Grove Indoor Gym,recreational facility
Shadland Halls Grove,Halls Grove Play Yard,recreational facility
Shadland Halls Grove,Lang Pool,recreational facility
Shadland Halls Grove,Halls Grove Elementary,public school 
Shadland Halls Grove,Horace Mann Elementary,public school 
Shadland Halls Grove,Columbus Middle Scool,public school 
Shadland Halls Grove,Oliver High School,public school 
Shadland Halls Grove,St. John's Hospital,health facility
Shadland Halls Grove,Divine Providence Hospital,health facility
Shadland Halls Grove,Allegheny General Hospital,health facility
Shadyside,Shadyside Hospital,health facility
Shadyside,Police Station No 6,police station
Shadyside,Fire Station No 14,fire station
Shadyside,Fire Station No 28,fire station
Shadyside,"Carnegie Library, Central Branch",public library
Shadyside,Liberty Elementary School,public school 
Shadyside,Arsenal Middle School,public school 
Shadyside,Peabody High School,public school 
Shadyside,Mellon Park,recreational facility
Shadyside,Pierce and Summerlea Tot Lot,recreational facility
Sheraton Chartiers,Fire Station No 40,fire station
Sheraton Chartiers,Police District No 8,police station
Sheraton Chartiers,Sheraden Park,recreational facility
Sheraton Chartiers,Chartiers Playground,recreational facility
Sheraton Chartiers,Mutual Street Court,recreational facility
Sheraton Chartiers,McGunnegle Playground,recreational facility
Sheraton Chartiers,Sheraden Elementary School,public school 
Sheraton Chartiers,Chartiers Elementary School,public school 
Sheraton Chartiers,Langley High School,public school 
South Oakland,Police District No 4,police station
South Oakland,Fire Engine and Truck Company No 14,fire station
South Oakland,Carnegie Library Main Division,public library
South Oakland,Schenley High School,public school
South Oakland,Holmes Elementary,public school 
South Oakland,Holmes Playground,recreational facility
South Oakland,Niagara Tot Lot,recreational facility
South Oakland,Frazier Field,recreational facility
South Oakland,Charles Anderson Playground,recreational facility
South Oakland,Lawn and Ophelia Parklet,recreational facility
South Oakland,Schenley Park,recreational facility
Southside Flats,Police Station No 7,police station
Southside Flats,Fire Station No 12,fire station
Southside Flats,Carnegie Library,public library
Southside Flats,St. Joseph Hospital,health facility
Southside Flats,South Side Hospital,health facility
Southside Flats,Ornsby Recreation Center,recreational facility
Southside Flats,Armstrong center,recreational facility
Southside Flats,Market House,recreational facility
Southside Flats,28th Street Tot Lot,recreational facility
Southside Flats,Senior Citizens' Lounge,recreational facility
Southside Flats,Morse Elementary,public school 
Southside Flats,Philips Elementary,public school 
Southside Flats,South High School,public school 
Southside Slopes,Police Station No 7,police station
Southside Slopes,Fire Station No 22,fire station
Southside Slopes,Morse Elementary,public school 
Southside Slopes,South Junior and Senior High School,public school 
Southside Slopes,South Side Park Quarry Field,recreational facility
Southside Slopes,Winters Playground,recreational facility
Southside Slopes,Monongahela Playground,recreational facility
Southside Slopes,Sterling Street Tot Lot,recreational facility
Spring Hill,Fire Station No 42,fire station
Spring Hill,Fire Station No 51,fire station
Spring Hill,Fire Station No 53,fire station
Spring Hill,Police Station No 9,police station
Spring Hill,Carnegie Library North Side Branch,public library
Spring Hill,Spring Hill Playground and Ballfield,recreational facility
Spring Hill,Spring Hill Elementary School,public school 
Spring Hill,Latimer Middle School,public school 
Spring Hill,Allegheny High School,public school 
Spring Hill,Allegheny General Hospital,health facility
Spring Hill,Divine Providence Hospital,health facility
Spring Hill,St. John's Hospital,health facility
Squirrel Hill - North of Forbes,Police District No 6,police station
Squirrel Hill - North of Forbes,Fire Engine and Truck Company No 34,fire station
Squirrel Hill - North of Forbes,"Carnegie Library, Squirrel Hill Branch",public library
Squirrel Hill - North of Forbes,Linden Elementary School,public school
Squirrel Hill - North of Forbes,Wightman Elementary School,public school
Squirrel Hill - North of Forbes,Minadeo Elementary School,public school
Squirrel Hill - North of Forbes,Davis Elementary School,public school
Squirrel Hill - North of Forbes,Sterrett Elementary School,public school
Squirrel Hill - North of Forbes,Park Place Elementary School,public school
Squirrel Hill - North of Forbes,Colfax Elementary School,public school
Squirrel Hill - North of Forbes,Taylor Allderdice High School,public school
Squirrel Hill - North of Forbes,Schenley Park,recreational facility
Squirrel Hill - North of Forbes,Davis Playground,recreational facility
Squirrel Hill - North of Forbes,Frick Park,recreational facility
Squirrel Hill - North of Forbes,Park Place Parklet,recreational facility
Squirrel Hill - North of Forbes,Wightman Playground,recreational facility
Squirrel Hill - North of Forbes,Sterrett Playground,recreational facility
Squirrel Hill - North of Forbes,Carnegie Mellon University,college
Squirrel Hill - North of Forbes,Chatham College,college
Squirrel Hill - South of Forbes,Police District No 6,police station
Squirrel Hill - South of Forbes,Fire Engine and Truck Company No 34,fire station
Squirrel Hill - South of Forbes,"Carnegie Library, Squirrel Hill Branch",public library
Squirrel Hill - South of Forbes,Linden Elementary School,public school
Squirrel Hill - South of Forbes,Wightman Elementary School,public school
Squirrel Hill - South of Forbes,Minadeo Elementary School,public school
Squirrel Hill - South of Forbes,Davis Elementary School,public school
Squirrel Hill - South of Forbes,Sterrett Elementary School,public school
Squirrel Hill - South of Forbes,Park Place Elementary School,public school
Squirrel Hill - South of Forbes,Colfax Elementary School,public school
Squirrel Hill - South of Forbes,Taylor Allderdice High School,public school
Squirrel Hill - South of Forbes,Schenley Park,recreational facility
Squirrel Hill - South of Forbes,Davis Playground,recreational facility
Squirrel Hill - South of Forbes,Frick Park,recreational facility
Squirrel Hill - South of Forbes,Park Place Parklet,recreational facility
Squirrel Hill - South of Forbes,Wightman Playground,recreational facility
Squirrel Hill - South of Forbes,Sterrett Playground,recreational facility
Squirrel Hill - South of Forbes,Carnegie Mellon University,college
Squirrel Hill - South of Forbes,Chatham College,college
St. Clair,Police Station No 7,police station
St. Clair,Fire Station No 22,fire station
St. Clair,Phillip Murray Field,recreational facility
St. Clair,Housing Authority Recreation Area,recreational facility
St. Clair,Phillip Murray,public school 
St. Clair,Carrick High School,public school 
Stanton Heights,Police Station No 3,police station
Stanton Heights,Engine and Truck Company No 36,fire station
Stanton Heights,Sunnyside Elementary School,public school 
Stanton Heights,Peabody High School,public school 
Stanton Heights,Sunnyside Elementary School,public school 
Stanton Heights,Highland Park,recreational facility
Stanton Heights,Shadyside Hospital,health facility
Stanton Heights,West Penn Hospital,health facility
Swisshelm Park,Police District No 6,police station
Swisshelm Park,Fire Engine Company No 61,fire station
Swisshelm Park,Onondaga Tot Lot,recreational facility
Swisshelm Park,Swisshelm Park Elementary,public school 
Swisshelm Park,Taylor Allderdice High School,public school 
Terrace Village,Police Station No 2,police station
Terrace Village,Fire Station No 5,fire station
Terrace Village,Leo Weil Elementary,public school 
Terrace Village,Schenley High School,public school 
Terrace Village,Fifth Avenue High School,public school 
Terrace Village,Kennard Recreation Complex,recreational facility
Terrace Village,Martin Luther King Field,recreational facility
Terrace Village,Wadsworth Hall Parklet,recreational facility
Terrace Village,Aliquippa St. Parklet,recreational facility
Terrace Village,Devilliers No 1 Tot Lot,recreational facility
The Bluff,Police Station No 2,police station
The Bluff,Department of Land and Buildings District office,public agency
The Bluff,Fire Engine Company No 4,fire station 
The Bluff,Fire Engine Truck No 3,fire station 
The Bluff,Miltenberger-Locust Basketball Court,recreational facility
The Bluff,Tustin Street Tot Lot No 1,recreational facility
The Bluff,Tustin Street Tot Lot No2,recreational facility
The Bluff,Mercy Hospital,health facility
The Bluff,Central Medical Pavilion,health facility
The Bluff,Allegheny County Public Health District Office,health facility
The Bluff,Fifth Avenue High School,public school 
The Strip,Denny Tot Lot,recreational facility
The Strip,West Penn Recreation Center,recreational facility
The Strip,Arsenal Playground,recreational facility
The Strip,Leslie Playground and Pool,recreational facility
The Strip,Sullivan Playground,recreational facility
The Strip,Police Station No 3,police station
The Strip,Fire Station No 7,fire station 
The Strip,Woolslayer Elementary,public school 
The Strip,Arsenal Middle School,public school 
The Strip,Schenley High School,public school 
The Strip,St. Francis Hospital,health facility
The Strip,St. Margaret's Hospital,health facility
The Strip,St. Margaret's Hospital,West Penn Hospital
Troy Hill,Fire Station No 51,fire station 
Troy Hill,Fire Station No 53,fire station
Troy Hill,Police Station No 9,police station
Troy Hill,"Carnegie Library, North Side Branch",public library
Troy Hill,"Cowley Goettman Recreation Center, Ballfield, and Swimming Pool",recreational facility
Troy Hill,Cowley-Gardner Ballfield and Courts,recreational facility
Troy Hill,Lookout Street Parklet,recreational facility
Troy Hill,Spring Garden Elementary,public school 
Troy Hill,Latimer Middle School,public school 
Troy Hill,Allegheny High School,public school 
Troy Hill,Allegheny General Hospital,health facility
Troy Hill,Divine Providence Hospital,health facility
Troy Hill,St. Johns Hospital,health facility
Upper Hill,Police Station No 2,police station
Upper Hill,Fire Station No 5,fire station
Upper Hill,"Carnegie Library, Wylie Branch",public library
Upper Hill,Herron Hill Junior High School,public school 
Upper Hill,Schenley High School,public school 
Upper Hill,Fifth Avenue High School,public school 
Upper Hill,Herron Hill Park,recreational facility
Upper Hill,Schenley High Ballfield and Courts,recreational facility
Upper Lawrenceville,Police Station No 3,police station
Upper Lawrenceville,Engine Company No 9,fire station
Upper Lawrenceville,McCleary Elementary,public school 
Upper Lawrenceville,Arseal Middle,public school 
Upper Lawrenceville,Schenley High,public school 
Upper Lawrenceville,Peabody High,public school 
Upper Lawrenceville,Leslie Recreation Center and Pool,recreational facility
Upper Lawrenceville,Duna Parklot,recreational facility
Upper Lawrenceville,Butler and McCandless Court,recreational facility
Upper Lawrenceville,Butler and 57th Playground,recreational facility
Upper Lawrenceville,Carnegie and McCandless Tot Lot,recreational facility
Upper Lawrenceville,St. Francis Hospital,health facility
Upper Lawrenceville,St. Margaret's Hospital,health facility
West End Valley,Fire Station No 10,fire station
West End Valley,Carnegie Library West End Branch,public library
West End Valley,Police District No 8,police station
West End Valley,Wabash Playground,recreational facility
West End Valley,West End Recreation Center,recreational facility
West End Valley,Langley High Recreation Area,recreational facility
West End Valley,Stevens Elementary,public school 
West End Valley,Langey Jr. and Sr. High School,public school 
West End Valley,Southwest Pgh. Mental Health Consultation Service,health facility
